rank,company,company_aliases,employer_group_id,employer_site,job_id,title,ok,status,skip_reason,duration_ms,work_wall_ms,queued_ms,completed_ms,worker_id,target_id,cleanup_target_query_ms,cleanup_descendants,js_heap_used_bytes
1,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_aaae17c6782c,Senior Full Stack Developer (a),True,form_processed,,9605.3,9193.3,0.4,9605.6,0,EA42845E0753A64634BF3E9D395188ED,213.4,0,5148104.0
2,Kanton Luzern,['Kanton Luzern'],,,Kanton_Luzern_gen_caefeda5688e,Senior DevOps Engineer Experience Technologies (a),True,form_processed,,9604.7,9197.3,0.7,9605.5,1,45BC2FFC86FC00D8CF95A14FA824B135,213.8,0,5155712.0
3,CSS,['CSS'],,,CSS_1a36e481,Expert Data Engineer (w/m) 80-100%,True,form_processed,,18207.1,17796.9,1.1,18208.2,2,9C7BE71005F39D5DB52D1A84482399F1,213.0,0,3581568.0
4,Expleo,['Expleo'],,,Expleo_55519,DevOps Engineer (M/W),True,skipped_by_metadata,declared_mode_account,404.5,0.0,1.4,405.9,3,CA1E45A79F10B420FF9596F4FDDE5BD8,214.2,0,
5,vlot,['vlot'],,,vlot_15332446,"Fintech Software Entwickler (F#, C#, React)",True,no_application_form,,17200.1,16788.4,1.7,17201.8,4,29094461B26D0A98EF14F045AAC42B8D,212.2,0,38138656.0
6,NVIDIA,['NVIDIA'],,,NVIDIA_893397378484,Senior System Software Engineer,True,no_application_form,,23302.7,22886.8,2.0,23304.7,5,0F3D6BA17C5520D06116F81E51098C17,217.2,0,33246512.0
7,RUAG,['RUAG'],,,RUAG_gen_adf64bc1fdab,DevOps Engineer C5I,True,form_processed,,20249.5,19846.2,2.3,20251.8,6,CBE1AB17C7A618E84FF2A704A8B92CCE,207.7,0,9689632.0
8,RUAG,['RUAG'],,,RUAG_gen_c326bb5d7369,DevOps Engineer C5I,True,form_processed,,19583.0,19167.5,2.5,19585.5,7,6C390500D10E240B1EDBA86194A94396,216.1,0,10796204.0
9,RUAG,['RUAG'],,,RUAG_gen_221f77a253ef,DevOps Engineer C5I,True,form_processed,,19506.8,19092.6,2.8,19509.6,8,712D3E18346C4C5243A96DA1B0A8EABD,217.1,0,11225824.0
10,Roche,['Roche'],,,Roche_202608-121795,Machine Learning Engineer,True,skipped_by_metadata,declared_mode_account,403.0,0.0,3.0,406.0,9,8A3CF82C37C223DFAF6C4CB8A7BADC7D,204.5,0,
11,Vaudoise,['Vaudoise'],,,Vaudoise_67005910,Développeur / développeuse (.NET / Angular / Azure) (h/f/x) - 80-100 %,True,form_processed,,13367.2,13159.1,407.1,13774.3,3,CA1E45A79F10B420FF9596F4FDDE5BD8,207.5,0,4429892.0
12,Expleo,['Expleo'],,,Expleo_50717,Business Analyst,True,skipped_by_metadata,declared_mode_account,216.3,0.0,407.8,624.0,9,8A3CF82C37C223DFAF6C4CB8A7BADC7D,215.9,0,
13,Salesforce,['Salesforce'],,,Salesforce_JR350958,Lead Forward Deployed Engineer,True,skipped_by_metadata,declared_mode_account,202.0,0.0,624.9,826.9,9,8A3CF82C37C223DFAF6C4CB8A7BADC7D,201.6,0,
